standard_form,dialect_form
한번 여유가 되면은 그런 상황이 되면은 여름이 오면은 한번 가 볼까 생각은 하고 있습니다,한번 여유가 되면은 그런 상황이 되면은 여름이 오면은 한번 가 볼까 생각은 하고 있습니더
근데 그 뭐지 봄은 많이 안 합니까 나는 봄도 좋던데,근데 그 뭐고 봄은 마이 안 좋아합니꺼 나는 봄도 좋던데
안에 이제 속에 입을 것만 조금 내놓고 인제,안에 이제 속에 입을 것만 쫌 내놓고 인제
그거 겨울옷 다 끄집어내야지요 다 끄집어내고,그거 겨울옷 다 끄집어내야지예 다 끄집어내고
또 뭐 좀 지겨운 옷은 버려 버리고 또 새로 하나 돼야 될 거고,또 뭐 좀 지겨븐 옷은 버려 뿌고 또 새로 하나 돼야 될 끼고
또 겨울 되면 겨울 이제 다가왔으니까 저 스키도 한번 타러,또 겨울 되면 겨울 인자 다가왔으니까 저 스키도 한번 타러
또 가 봐야 되고 할 것도 많네요,또 가 봐야 되고 할 것도 많네예
이제 다른 거는 못 할 거고 인제 겨울에 스키는 한번 타러 가 봐야지요 응 스키 혹시 겨울에 스키 타 봤어요?,이제 다른 거는 못 할 끼고 인제 겨울에 스키는 한번 타러 가 봐야지예 응 스키 혹시 겨울에 스키 타 봤어예?
부산은 뭐 에덴밸리가 뭐 해도 제일 가까우니까,부산은 뭐 에덴밸리가 뭐 캐도 제일 가까우니까
에덴밸리 거 한번 가 봐야 안 되겠습니까?,에덴밸리 거 한번 가 봐야 안 되겠습니꺼?
그리고 나는 그동안에는 인제 스키는 우리 애들은 잘 탔어요,그리고 나는 그동안에는 인제 스키는 우리 아들은 잘 탔어요
나는 인제 그게 싫어가지고 스키를 안 탔어요 근데 가면 이제 곤도라 그거 그거,나는 인제 그게 싫어가지고 스키를 안 탔어요 근데 가면 인저 곤도라 그거 그거
곤도라 그거 이제 타고 왔다 갔다 올라갔다 내려갔다 이제 뭐 그거 정도는 했지요,곤도라 그거 인자 타고 왔다 갔다 올라갔다 내려갔다 인저 뭐 그거 정도는 했지예
그 스키는 나는 안 타 봤어요 근데,그 스키는 나는 안 타 봤어예 근데
애들이 되게 재밌어하더라고요 스키 타는 거를,아들이 되게 재밌어하더라고요 스키 타는 거를
뭐 그러더라고요 근데 인제 나이도 있고 하니까 혹시 스키 타다가,뭐 그래쌌대예 근데 인제 나이도 있고 하니까 혹시 스키 타다가
다리 다 무릎 같은 거 다치고 이럴까 싶어서  그것도 걱정이 되고,다리 다 무릎 거튼 거 다치고 이랄까 싶어서  그것도 걱정이 되고
근데 타 보고는 싶어요 하여튼,근데 타 보고는 싶어예 하이튼
스키 타 보고는 싶은데 뭐 인제 그 남편 보고 잡아 돌라 해갖고,스키 타 보고는 싶은데 뭐 인제 그 남편 보고 잡아 돌라 케갖고
천천히 하면 타 볼까 그 생각은 하고 있어요 근데,천천히 하먼 타 볼까 그 생각은 하고 있어예 근데
스키 장비하고 뭐 이런 것 거가 빌려주고 하니까요 돈 주고 뭐 그렇게 한번 타 보고,스키 장비하고 뭐 이런 것 거가 빌리주고 하니까네 돈 주고 뭐 그래 한번 타 보고
뭐 장비도 갖춰가지고 함 그래 겨울만 되 겨울 마중도 한번 가 보는 것도 한번 괜찮은 거 같애요,뭐 장비도 갖차가지고 함 그래 겨울만 되 겨울 마중도 한번 가 보는 것도 한번 괜찮은 거 거태요
어 여유가 되면은 스키 함 타 보고 싶습니까?,어 여유가 되면은 스키 함 타 보고 싶습니꺼?
봄에 인제 유채꽃 보려고요 낙동강 그 구포 다리 밑에,봄에 인제 유채꽃 볼라꼬예 낙동강 그 구포 다리 밑에
거기 보면은 유채꽃이 굉장히  많이 피가 있거든요,거 보면은 유채꽃이 억수로  마이 피가 있거든예
거기 사람들도 엄청 많이 오고 먹을거리도 많고,거 사람들도 엄청 많이 오고 먹을거리도 많고
그래가지고 거기서 인제 한 해마다는 안 가도 거의 뭐 이 년에 한 번꼴로는 내가 갔던 거 같아요,그래가지고 거기서 인제 한 해마다는 안 가도 거의 뭐 이 년에 한 번꼴로는 내가 갔던 거 거태요
근데 이제 뭐 코로나 때문에 봄에도 인제 유채꽃 보러도 뭐 많이 가 가겠나 싶네요,근데 인자 뭐 코로나 때문에 봄에도 인제 유채꽃 보러도 뭐 많이 가 가겠나 싶으잖네예
그래서 뭐 그냥 멀리서 인제 유채꽃 구경이나 하고 봄을 느껴야 안 되겠나 싶은데,그래서 뭐 그냥 멀리서 인제 유채꽃 구경이나 하고 봄을 느끼야 안 되겠나 싶은데
어쩌려나 모르겠네요 봄에 그러면은 인제 꽃구경 말고 혹시,어짤란가 모르겠네예 봄에 그러면은 인제 꽃구경 말고 혹시
아니면 봄에 봄 되면 내가 뭐 하고 싶다 이런 게 있습니까?,아니면 봄에 봄 되면 내가 뭐 하고 싶다 이런 게 있습니꺼?
대부분 꽃놀이 가 꽃놀이라기보다는 그냥 꽃구경하러 같은 것 같은데,대부분 꽃놀이 가 꽃놀이라기보다는 걍 꽃구경하러 같은 것 같은데
그렇지요 나는 부산에 계속 살아가지고,그렇지예 나는 부산에 계속 살아가지고
뭐 한 시 십 년에 한 번꼴 정도 막 눈 되게 올 적에 그때 이제,뭐 한 시 십 년에 한 번꼴 정도 막 눈 디게 올 적에 그때 인자
눈사람 한번 만들어 본 그런 거 기억 말고는 부산은 주로 따뜻하니까는,눈사람 한번 맨들어 본 그런 거 기억 말고는 부산은 주로 따시니까네
눈 많이 안 오잖아요 그래서 뭐 크게 뭐 눈을,눈 마이 안 오잖아예 그래서 뭐 크게 뭐 눈을
눈을 많이 보고 이러지는 못했어요 그래서 눈은 눈 내리는 날을 참 좋아합니다,눈을 마이 보고 이러지는 못했어요 그서 눈은 눈 내리는 날을 참 좋아합니더
아 눈 오면은 뭐 무조건 밖을 나가지요,아 눈 오면은 뭐 무조건 밖을 나가지예
그 그 눈 밟을 때 막 뽀도독뽀도독 거리는 소리가 너무 좋아갖고요,그 그 눈 밟을 때 막 뽀도독뽀도독 거리는 소리가 너무 좋아갖고예
그래서 많이 많이 걸어요 미끄러워도 조심조심 하면서 많이 걷고 그럽니다,그서 많이 많이 걸어예 미끄러버도 조심조심 하면서 많이 걷고 그랍니더
손님도 별로 없고 그냥 동네 사람들만 조금 왔다 갔다 하는 그런 카페 일 해 봤어요 카페 일 해 보셨어요?,손님도 별로 없고 그냥 동네 사람들만 쫌 왔다 갔다 하는 그런 카페 일 해 봤어요 카페 일 해 보셨어요?
알바해 봤어요 근데 조금,알바해 봤어요 근데 쫌
힘든 것도 조금 있던데 뭐 무거운 것도 나르고,힘든 것도 쫌 있던데 뭐 무거운 것도 나르고
꽐라되는 사람 뭐 그런 거는 아니더라도 조금 몇 잔 걸치고 와가지고,꽐라되는 사람 뭐 그런 거는 아니더라도 쫌 몇 잔 걸치고 와가지고
막 이것저것 질문하고 술 취한 사람들 조금 있었던 거 같긴 해요,막 이것저것 질문하고 술 취한 사람들 쫌 있었던 거 같긴 해요
그 카페에서 일하면은 조금 늦게까지 일을 하셨어요?,그 카페에서 일하면은 쫌 늦게까지 일을 하셨어요?
빵 사다 준다고 아빠들이 와가지구 빵도 조금 사 가고 하거든요,빵 사다 준다고 아빠들이 와가지구 빵도 쫌 사 가고 하거든요
그래서 조금 곤란했던 경험이 있었어요,그래서 쫌 곤란했던 경험이 있었어요
조금 체력적으로 뭐 조용하게 뭐 주문을 한다던가,쫌 체력적으로 뭐 조용하게 뭐 주문을 한다던가
저는 혼자 일하는 까페만 조금 일해 봤는데 혹,저는 혼자 일하는 까페만 쫌 일해 봤는데 혹
그래서 심심하진 않았는데 근데 혼자 일하면은 조금 심심하지 않았어요?,그래서 심심하진 않았는데 근데 혼자 일하면은 쫌 심심하지 않았어요?
저는 여러 명 같이 일했던 알바 조금 해 보긴 했는데,저는 여러 명 같이 일했던 알바 쫌 해 보긴 했는데
그러면은 자기들끼리 갑자기 어 어느 순간 알게 돼가지고 뭐 사귀거나 그런 게 조금 있었거든요,그면은 자기들끼리 갑자기 어 어느 순간 알게 돼가지고 뭐 사귀거나 그런 게 쫌 있었거든요
아 거기서는 조금 다른 사람이랑 있었다,아 거기서는 쫌 따른 사람이랑 있었다
거기는 남자 여자 이렇게 조금 섞여서 일했는데,거기는 남자 여자 이렇게 쫌 썪여서 일했는데
주차장은 조금 일을 특이하게 하는 게,주차장은 쫌 일을 특이하게 하는 게
그게 왜 그렇냐면 한 시간 동안 주차 이렇게 요원을 해요,그게 왜 그렇냐면 한 시간 동안 주차 이르케 요원을 해요
그래서 총 열 시간 하면 다섯 시간을 아니다,그래서 총 열 시간 하면 다섯 시간을 아이다
그 성비가 오 대 오로 그 섞여서 일해가지고,그 성비가 오 대 오로 그 썪여서 일해가지고
거기도 일을 하다가 이렇게 같이 끝나고 나면은,거기도 일을 하다가 이케 같이 끝나고 나면은
조금 재밌게 일을 했었죠,쫌 재밌게 일을 했었죠
그러다가 약간 팀장님 이런 사람들한테 조금 잘 보이면,그러다가 약간 팀장님 이런 사람들한테 쫌 잘 보이면
근데 그게 이게 조금,근데 그게 이게 쫌
그래서 엄청 크고 뭐 홀이 많거나 이런 웨딩홀에 가면은 제가 듣기로는 엄청 힘들다고 하더라고요,그래서 엄청 크고 뭐 홀이 많거나 이런 웨딩홀에 가면은 제가 듣기로는 엄청 힘들다고 카더라고요
그래서 그런 게 조금 힘들다 하던데,그래서 그런 게 쫌 힘들다 카던데
그리고 제가 친구가 원래 있던 웨딩홀에 이렇게 한 사람이 빠져가지구 제가 친구 추천으로 같이 들어가게 돼서 일을 한 거였는데,그리고 제가 친구가 원래 있던 웨딩홀에 이케 한 사람이 빠져가지구 제가 친구 추천으로 같이 들어가게 돼서 일을 한 거였는데
이게 조금 좋았던 게 뭐냐면 사람들은,이게 쫌 좋았던 게 뭐냐면 사람들은
그래서 그게 조금 좋았어요 아무도 모르고 내가 틀린 거를,그래서 그게 쫌 좋았어요 아무도 모르고 내가 틀린 거를
그게 조금 좋았던 거 같애요,그게 쫌 좋았던 거 같애요
뭐 또 다른 거 해 보셨어요?,뭐 또 따른 거 해 보셨어요?
그래서 아 부럽다 하면서 그때는 나는 여기 주방에서 일하고 있는데 이러면서,그래서 아 부럽다 카면서 그때는 나는 여기 주방에서 일하고 있는데 이러면서
그때 당시에는 남녀가 조금 엄청 차별이 심해가지구,그때 당시에는 남녀가 쫌 엄청 차별이 심해가지구
남자는 엄청 힘든 것만 시키구 여자들은 은근히 조금 편한 거 시키는 거예요,남자는 엄청 힘든 것만 시키구 여자들은 은근히 쫌 편한 거 시키는 거예요
이렇게 조금 떨어진 거 있으면 이렇게 조금 닦고,이케 쫌 떨어진 거 있으면 이케 쫌 딲고
여자들은 그냥 행주만 들고 다니면서 닦으니까,여자들은 그냥 행주만 들고 다니면서 딲으니까
근데 이게 조금 싫었던 게 이제 수능 끝나고 시간 있을 땐 상관이 없는데,근데 이게 쫌 싫었던 게 이제 수능 끝나고 시간 있을 땐 상관이 없는데
대학교를 이제 조금 있다 가야 되잖아요 그러면은 이제 평일을 할 수가 없단 말이에요 그래가지고,대학교를 이제 쫌 있다 가야 되잖아요 그러면은 이제 평일을 할 수가 없단 말이에요 그래가지고
그러면 오전 여섯 시 일곱 시부터 그 빵집을 가야 되는 거예요,그면 오전 여섯 시 일곱 시부터 그 빵집을 가야 되는 거예요
조금 제일 오래했던 게 몇 개월 정도 하셨었어요?,쫌 제일 오래했던 게 몇 개월 정도 하셨었어요?
그래서 사장님이 남는 거 있으면은 서비스로 이제 마지막 손님들한테 조금 주라 그러는데,그래서 사장님이 남는 거 있으면은 서비스로 이제 마지막 손님들한테 쫌 주라 그러는데
사실 뭐 지금 고백하자면 내가 좋아하는 건 조금 안 주고 서비 서비스로,사실 뭐 지금 고백하자면 내가 좋아하는 건 쫌 안 주고 서비 서비스로
나 가져 갈라고,내 가져 갈라고
왜냐면 안 주면은 사장님이 이거 많이 남았는데 너 가져 가라 그러면서 맨날 맨날 싸 줬거든요,왜냐면 안 주면은 사장님이 이거 많이 남았는데 니 가져 가라 그러면서 맨날 맨날 싸 줬거든요
영화 알바는 근데 조금 그런 게 있어요 제가 그 에서 일했는데,영화 알바는 근데 쫌 그런 게 있어요 제가 그 에서 일했는데
그래가지고 막 시간을 조금 이렇게 하긴 나는 힘들다,그래가지고 막 시간을 쫌 이렇게 하긴 나는 힘들다
그래서 못 하겠다 이렇게 하니까 그 매니저가 약간 나한테 이렇게 말하는 거예요 그건 너무 너 생각만 하는 거 아니야 뭐,그래서 못 하겠다 이렇게 하니까 그 매니저가 약간 나한테 이렇게 말하는 거예요 그건 너무 니 생각만 하는 거 아니야 뭐
그러면 나는 내가 나 좋자고 일하는 거지 남 좋자고 일하는 건 아니잖아요,그면 나는 내가 나 좋자고 일하는 거지 남 좋자고 일하는 건 아니잖아요
뭐 아르바이트 그 뭐 그만두실 때 뭐 다 이렇게,뭐 아르바이트 그 뭐 그만두실 때 뭐 다 이케
그래서 사장님이 야 너,그래서 사장님이 야 니
되게 오래 일했던 빵집은 그거는 조금 크고 나서,되게 오래 일했던 빵집은 그거는 쫌 크고 나서
한 건데도 조금 엄청 상처 받았던 게,한 건데도 쫌 엄청 상처 받았던 게
크리스마스에 조금 약간,크리스마스에 쫌 약간
갑자기 매니저 이름을 이렇게 부르는 거예요 매니저야 뭐 요렇게 그래가지고 뭐 할 말 있나 보다 이렇게 있었는데,갑자기 매니저 이름을 일케 부르는 거예요 매니저야 뭐 요렇게 그래가지고 뭐 할 말 있나 보다 이렇게 있었는데
그런 게 조금 있 있는 거 같애요 텃세라고 해야 되나?,그런 게 쫌 있 있는 거 같애요 텃세라고 해야 되나?
조금 차갑게 대해,쫌 차갑게 대해
그래서 처음부터는 조금 잘해 주는 게 진짜 없고 막 친절한 사람도 거의 없고,그래서 처음부터는 쫌 잘해 주는 게 진짜 없고 막 친절한 사람도 거의 없고
막 조금 어 맞어,막 쫌 어 맞어
친한 사람들끼리 뭐 얘기하고 나는 그냥 가만히 있고 이런 게 있었던 거 같애요 그래서 그게 조금 힘들었는데,친한 사람들끼리 뭐 얘기하고 나는 그냥 가만히 있고 이런 게 있었던 거 같애요 그래서 그게 쫌 힘들었는데
그래서 그게 조금 그런 거야 그래서 저는 약간,그래서 그게 쫌 그런 거야 그래서 저는 약간
막 이거는 조금 편하게 할려면 이렇게 하면 된다 하면서,막 이거는 쫌 편하게 할려면 이렇게 하면 된다 카면서
조금 그런 걸 없앨려고 막 많이 했던 거 같애요,쫌 그런 걸 없앨려고 막 많이 했던 거 같애요
뭐 그러면 또 빵집 알바 말고는 다른 데서는 뭐 이런 거 느껴 보신 적 없으세요?,뭐 그러면 또 빵집 알바 말고는 따른 데서는 뭐 이런 거 느껴 보신 적 없으세요?
자기들끼리 조금 그랬고 그 매니저랑도 원래는 이렇게 뭐지?,자기들끼리 쫌 그랬고 그 매니저랑도 원래는 이렇게 뭐지?
그 순간 앞치마를 던지고 나왔어야 됐는데,그 순간 앞치마를 떤지고 나왔어야 됐는데
이쪽이 그 조금 인프라가 작다 보니까 그 볼 수 있는,이쪽이 그 쫌 인프라가 짝다 보니까 그 볼 수 있는
콘서트 그러니까 넬이 콘서트를 준비할 때,콘서트 그니까 넬이 콘서트를 준비할 때
그 공연을 하는 보고 있을 때는 진짜 다른 세계에 갔다 온 느낌?,그 공연을 하는 보고 있을 때는 진짜 따른 세계에 갔다 온 느낌?
그 콘서트 넬 콘서트도 갔기도 했었고 다른 가수,그 콘서트 넬 콘서트도 갔기도 했었고 따른 가수
오 되게 진짜 멋있네요 그 제가 왜 그걸 멋있다고 생각을 하냐면 제가 친구랑 내일로 여행을 갔다가,오 되게 진짜 멋있네요 그 제가 왜 그걸 멋있다라고 생각을 하냐면 제가 친구랑 내일로 여행을 갔다가
티비라는 매체를 통해서 조금 더 저 사람들이 많이 알려졌으면 좋겠다 이런 생각들이 많이,티비라는 매체를 통해서 쫌 더 저 사람들이 많이 알려졌으면 좋겠다 이런 생각들이 많이
조금 스미닛호드라든지 많이 못 보고 그런 거를 보러 갔는데,쫌 스미닛호드라든지 많이 못 보고 그런 거를 보러 갔는데
조금 매력이 있는 거 같고,쫌 매력이 있는 거 같고
그리고 연극 같은 경우는 조금,그리고 연극 같은 경우는 쫌
조금 고민해 볼 수 있고 생각해 볼 수 있고,쫌 고민해 볼 수 있고 생각해 볼 수 있고
쓰리플인지 더블 캐스팅인지 인제 조금,쓰리플인지 더블 캐스팅인지 인제 쫌
부산에서는 이렇게 볼 기회들이,부산에서는 이케 볼 기회들이
많다라고 하면 많다고 얘기할 수도 있는 거 같고 적,많다라고 하면 많다라고 얘기할 수도 있는 거 같고 적
다라고 얘기하면 적다고 얘기할 수도 있는 거 같고,다라고 얘기하면 적다라고 얘기할 수도 있는 거 같고
전광판에 그 연극을 한다고 이제 붙여져 있 있더라구요 그래서,전광판에 그 연극을 한다라고 이제 붙여져 있 있더라구요 그래서
조금 서울을 제외하고는 좀 수월한 편이라고도 할 수는 있지만,쫌 서울을 제외하고는 좀 수월한 편이라고도 할 수는 있지만
지금 알려지진 않았지만 그래도 이 배우는 정말 연기력이 탄탄하고 어 어느 정도 스타성도 있다고 생각을 해서,지금 알려지진 않았지만 그래도 이 배우는 정말 연기력이 탄탄하고 어 어느 정도 스타성도 있다라고 생각을 해서
음 조금 나중에 티비에 나와도 많은 인기를 얻을 거 같다 싶은 그런,음 쫌 나중에 티비에 나와도 많은 인기를 얻을 거 같다 싶은 그런
잘은 모르겠어요 모르겠고 이제,잘은 몰르겠어요 모르겠고 이제
조금 장르의 차이가 있는 거 같다는 생각이 들고,쫌 장르의 차이가 있는 거 같다는 생각이 들고
조금 아직까지는 조금 가까이 가기나 그렇고,쫌 아직까지는 쫌 가까이 가기나 그렇고
다른 그런 통치자들이나,따른 그런 통치자들이나
다른 사람 다른 그런,따른 사람 따른 그런
다른 동대 인물들도 분명 있겠지만,따른 동대 인물들도 분명 있겠지만
서양사나 다른 쪽에서도 관심 있는 분들이 있으신가요?,서양사나 따른 쪽에서도 관심 있는 분들이 있으신가요?
가장 크게 대업을 이루었다라고 보는 거는 아무래도,가장 크게 대업을 이뤘다라고 보는 거는 아무래도
그렇게 유지가 됐다면은,그케 유지가 됐다면은
다른 유능한 인재에게 권력을 이항했으면은,따른 유능한 인재에게 권력을 이항했으면은
저는 어 저녁에 지금 약간 속이 조금 안 좋아가지고,저는 어 저녁에 지금 약간 속이 쫌 안 좋아가지고
모르겠어요 저는 지금은 안 먹을 거 같고 조금 더 늦어야 배가 고파지지 않을까,모르겠어요 저는 지금은 안 먹을 거 같고 쫌 더 늦어야 배가 고파지지 않을까
저도 음식 요리하는 걸 조금 좋아하는 편이라서,저도 음식 요리하는 걸 쫌 좋아하는 편이라서
일을 하고 있다 보니까 조금 요리 해 먹는 게 다가 아니라 또,일을 하고 있다 보니까 쫌 요리 해 먹는 게 다가 아니라 또
요즘에는 조금 많이 시켜 먹는 편인 거 같애요,요즘에는 쫌 많이 시켜 먹는 편인 거 같애요
아쉽다고 생각하고 있어요 혹시 다른 요리를 배워 보거나,아쉽다고 생각하고 있어요 혹시 따른 요리를 배워 보거나
저희 할머니가 또 중식도 하시면서 한식도 하셨는 한식도 하실 수 하실 줄 아셔가지고 할머니 쪽으로 조금 배웠습니다,저희 할머니가 또 중식도 하시면서 한식도 하셨는 한식도 하실 수 하실 줄 아셔가지고 할머니 쪽으로 쫌 배웠습니다
거기를 이번 달엔 조금 자주 간 거 같애요,거기를 이번 달엔 쫌 자주 간 거 같애요
이차로 가는 술집이어가지고 식사를 하기엔 조금 무리가 있고,이차로 가는 술집이어가지고 식사를 하기엔 쫌 무리가 있고
뭘 안 본 지가 조금 몇 년 된 거 같애요 그래가지고,뭘 안 본 지가 쫌 몇 년 된 거 같애요 그래가지고
품목에 따라 조금 다른 거 같은데 주로 배달을 많이 시키거든요  이것도 그래서,품목에 따라 쫌 다른 거 같은데 주로 배달을 많이 시키거든요  이것도 그래서
가격대는 조금 대형 마트보다 살짝 비싼 편이에요 근데,가격대는 쫌 대형 마트보다 살짝 비싼 편이에요 근데
인근 주민들한테 판매하는 게 있거든요 그런 걸 노려서 사면은 조금 저렴하게 살 수 있고 고기나 아니면은 뭐,인근 주민들한테 판매하는 게 있거든요 그런 걸 노려서 사면은 쫌 저렴하게 살 수 있고 고기나 아니면은 뭐
아예 그 양념이 배도록 지지는 마식을 조금 저는 선호하거든요,아예 그 양념이 배도록 찌지는 마식을 쫌 저는 선호하거든요
환경 오염이 조금 심각해지니까 육식을 줄여야 된다 이런  주장하고,환경 오염이 쫌 심각해지니까 육식을 줄여야 된다 이런  주장하고
육식을 조금 포기하기가 쉽지가 않아서,육식을 쫌 포기하기가 쉽지가 않아서
실천으로 옮기는 거는 조금 쉽지 않더라고요,실천으로 옮기는 거는 쫌 쉽지 않더라고요
그거 육식을 포기하는 건 조금 힘들 거 같고요,그거 육식을 포기하는 건 쫌 힘들 거 같고요
쪼끔 그런 분들은 조금 극단적으로 나가지 않나 그런 우려가 있습니다,쪼끔 그런 분들은 쫌 극단적으로 나가지 않나 그런 우려가 있습니다
이십 대 후반 되니까 환상이란 게 깡그리 싹 싹 싹 싹 싹 다 사라졌거든요?,이십 대 후반 되니까 환상이란 게 싸그리 싹 싹 싹 싹 싹 다 사라졌거든요?
저도 많이 바뀌었다고 생각을 하는데,저도 많이 바꼈다고 생각을 하는데
지금 그냥 성격 자체가 조금,지금 그냥 성격 자체가 쫌
사회가 바뀌어가면서 제 가치관도 바뀌어가고 그러니까,사회가 바껴가면서 제 가치관도 바껴가고 그러니까
걔네들은 진짜 일찍 했어요 엄마도 조금 일찍 됐고 네,걔네들은 진짜 일찍 했어요 엄마도 쫌 일찍 됐고 네
그렇게 응 조금 그런데 그러면,그렇게 응 쫌 그런데 그러면
나 혼자 끝까지 나 죽을 때까지 벌어 먹고살라면은 전문직을 하는 수밖에 없을 거 같더라구요,내 혼자 끝까지 내 죽을 때까지 벌어 먹고살라면은 전문직을 하는 수밖에 없을 거 같더라구요
그런 게 조금 있었으면 좋겠어요 제가 이때까지,그런 게 쫌 있었으면 좋겠어요 제가 이때까지
네가 겪은 거 아니잖아 약간 이런 식으로 얘기를 하는데,니가 겪은 거 아니잖아 약간 이런 식으로 얘기를 하는데
그런 것들이 조금 갖추고 있는 남자 친구?,그런 것들이 쫌 갖추고 있는 남자 친구?
그래서 그냥 남자라기보다는 이상형의 사람은 전 조금,그래서 그냥 남자라기보다는 이상형의 사람은 전 쫌
조금 청순한 스타일 귀엽고 청순한 스타일?,쫌 청순한 스타일 귀엽고 청순한 스타일?
약간 울리면 눈가가 빨개진다거나 약간 그런 스타일 좋아하는 거 같애요 조금 너무 그런가?,약간 울리면 눈가가 빨개진다거나 약간 그런 스타일 좋아하는 거 같애요 쫌 너무 그런가?
음 외적으로는 조금 그렇고,음 외적으로는 쫌 그렇고
제 성격이 조금 장난기도 많고 그러니까,제 성격이 쫌 장난기도 많고 그러니까
그냥 시야가 계속 좁아지더라구요 뭔가 하는 게 없으니까,걍 시야가 계속 쫍아지더라구요 뭔가 하는 게 없으니까
그때는 그냥 받아줬는데,그때는 걍 받아줬는데
그 여하튼 그래서 정이 떨어졌어요 그러니까 이렇게 세 번 정도?,그 여튼 그래서 정이 떨어졌어요 그러니까 이렇게 세 번 정도?
막 하여튼 아 생각하니까 짜증 나네 그래서,막 할튼 아 생각하니까 짜증 나네 그래서
어 조금 많았는데,어 쫌 많았는데
일단 나이 많은 남자 그러니까 나이 차이가 많이 나는 남자를 만나면 안 되고,일단 나이 많은 남자 그니까 나이 차이가 많이 나는 남자를 만나면 안 되고
아 이건 조금 사소한 건데 맛있는 걸 먹으러 가서 엄마 생각이 딱 나는 거예요,아 이건 쫌 사소한 건데 맛있는 걸 먹으러 가서 엄마 생각이 딱 나는 거예요
그러니까 내가 또 다른 생명체를 만드는 것보다 이미 나와 있는 생명을 내가 케어하는 게,그니까 내가 또 다른 생명체를 만드는 것보다 이미 나와 있는 생명을 내가 케어하는 게
여하튼 긍정적입니다 저는,여튼 긍정적입니다 저는
그러니까 뭔가를 가정을 이루고 싶다기보다는,그니까 뭔가를 가정을 이루고 싶다기보다는
뭐 다른 것들은 일단 금전,뭐 따른 것들은 일단 금전
더 든다 했나 여하튼 그 정도 든다는 거잖아요,더 든다 했나 여튼 그 정도 든다는 거잖아요
여하튼 좋은 대학에 그냥 간다라는 말이 있을 정도로,여튼 좋은 대학에 그냥 간다라는 말이 있을 정도로
레슨비를 대줘야 되는데 하여튼 그래서,레슨비를 대줘야 되는데 할튼 그래서
너 최근에 어디 갔다 온 데 있니 여행 괜찮은 곳에?,니 최근에 어디 갔다 온 데 있나 여행 괜찮은 곳에?
나 칠월 달에 제주도 갔다 왔잖아,내 칠월 달에 제주도 갔다 왔잖아
그때 한 이십 이십이 일부터 이십사 일까지 삼 삼 박 사 일  갔다 갔다 왔지 않아?,그때 한 이십 이십이 일부터 이십사 일까지 삼 삼 박 사 일  갔다 갔다 왔다 아이가?
저 얘기했지 내가 내가 얘기했잖아 그 랑 갔다 왔는데,저 얘기했제 내가 내가 얘기했잖아 그 랑 갔다 왔는데
근데 너도 여행 갔다 왔지 않아 제주도?,근데 니도 여행 갔다 왔다아니야 제주도?
근데 나 갔을 때는 뭐 가을이라가주고,근데 내 갔을 때는 뭐 가을이라가주고
날씨도 뭐 괜찮고 했는데 계속 비가 와가지고 조금 제대로 못 놀았어,날씨도 뭐 괜찮고 했는데 계속 비가 와가지고 쫌 제대로 못 놀았어
너 갔을 때는 날씨는 괜찮았니?,니 갔을 때는 날씨는 괜찮았나?
나 칠월 중순에 갔잖아 근데,내 칠월 중순에 갔잖아 근데
비가 계속 오는 거야 비 계속 오고 뭐,비가 계속 오는 거라 비 계속 오고 뭐
저 뭐야,저 뭐고
뭐 근데 옆에 사람 타고 다니는 거 보니까 그냥 뚜껑 다 열고 다니데 근데,뭐 근데 옆에 사람 타고 다니는 거 보니까 마 뚜껑 다 열고 다니데 근데
그냥 맞자 맞자 이러면서 막 다니드라고 근데,그냥 맞자 맞자 이카면서 막 다니드라고 근데
마지막 날 왜 나 너희한테 사진 안 보내더냐 그때 막 사진이,마지막 날 왜 내 너그한테 사진 안 보내드나 그때 막 사진이
날씨 구려가지고 그냥 그렇게 놀고,날씨 구려가지고 그냥 그래 놀고
음 집에 오는 날 다음 날 되니까 사진 화창하데 그래갖고 기분이 너무 조금 구린 거야 그래,음 집에 오는 날 다음 날 되니까 사진 화창하데 그래갖고 기분이 너무 쫌 구린 거야 그래
이제 랑 다른 데 또 놀러 가자 하면서,이제 랑 다른 데 또 놀러 가자 카면서
제주도 말고 딴 데 가자 하면서 올 올 연말에 또 놀러 가자 했거든,제주도 말고 딴 데 가자 카면서 올 올 연말에 또 놀러 가자 캤거든
그 연말에 네 오빠하고 아 못 놀러 못 가겠네,그 연말에 니 오빠하고 아 못 놀러 못 가겠네
어쩌니?,우야노?
안 그래도 요새 뭐 코로나 때문에 여행 잘 못 가고 한데,안 그래도 요새 뭐 코로나 땜에 여행 잘 못 가고 한데
그 제주도 얼마 전에 그 비행기 표 같은 거 봤거든 그러니까,그 제주도 얼마 전에 그 비행기 표 같은 거 봤거든 그라니까
그래서 뭐 가면은 뭐 카페 여러 군데 다니고,그래서 뭐 가면은 뭐 카페 여러 군데 댕기고
바다 같은 거 보고 맛있는 거 많이 먹고 오면 괜찮을 거 같은데,바다 같은 거 보고 맛있는 거 마이 먹고 오면 괜찮을 거 같은데
네 생각은 어떤데?,니 생각은 어떤데?
나 오빠랑 갔을 때 우리 오빠 그 오빠랑 갔을 때 그때,내 오빠랑 갔을 때 우리 오빠 그 오빠랑 갔을 때 그때
